bikeid,month,mileage,biketrips,tripduration,hours
36902,April,556.91,330,405839,113
36043,April,527.82,319,408130,113
37078,April,514.27,319,432466,120
36147,April,505.92,284,420307,117
36622,April,500.14,300,455789,127
37202,April,499.55,292,417756,116
36053,April,499.09,293,480185,133
37643,April,495.93,275,421226,117
36193,April,494.46,310,397006,110
37861,April,492.66,271,398676,111
37274,April,491.75,267,383765,107
36992,April,489.16,276,580712,161
37870,April,485.73,297,436964,121
36092,April,484.38,267,384819,107
37858,April,483.82,252,305213,85
36559,April,482.3,300,455991,127
37299,April,481.87,261,363432,101
37420,April,479.01,284,385186,107
37121,April,474.79,273,524283,146
35846,April,474.69,275,389110,108
35989,April,472.74,276,347167,96
37544,April,470.83,283,381826,106
37093,April,470.17,284,366539,102
37423,April,469.86,267,370263,103
36539,April,467.05,255,356742,99
37751,April,466.99,301,398693,111
36974,April,466.17,292,389371,108
36473,April,464.88,266,389074,108
36388,April,463.43,265,382713,106
36488,April,462.1,270,351259,98
36553,April,461.39,271,332111,92
36474,April,460.16,268,346826,96
37063,April,456.56,259,379216,105
37827,April,454.89,280,477647,133
37039,April,454.63,290,373589,104
36537,April,452.37,238,362400,101
37825,April,451.52,274,374426,104
36492,April,450.59,264,357620,99
36392,April,449.28,283,330353,92
37380,April,444.29,271,387007,108
37358,April,444.08,259,363324,101
36962,April,443.8,259,344371,96
36808,April,442.94,254,430570,120
35708,April,442.44,254,392004,109
35947,April,441.82,278,392933,109
37784,April,439.95,256,351143,98
37191,April,436.71,250,379069,105
37585,April,435.32,261,346865,96
36756,April,432.87,251,335549,93
37460,April,432.44,256,349370,97
36876,April,432.24,267,362098,101
37054,April,429.28,274,405192,113
37459,April,427.36,257,357764,99
36069,April,426.93,287,355387,99
36911,April,426.65,256,370937,103
35794,April,426.35,257,363292,101
36757,April,425.6,255,332938,92
36864,April,425.37,241,535424,149
36755,April,424.68,256,341772,95
37066,April,423.64,252,373700,104
35798,April,423.24,270,363675,101
37043,April,422.99,223,315519,88
36550,April,422.39,247,359392,100
37009,April,418.53,307,412211,115
36733,April,416.83,261,396781,110
35618,April,414.0,237,384352,107
36568,April,413.92,239,336502,93
36324,April,410.0,251,340499,95
37137,April,407.87,220,269815,75
35698,April,407.78,259,390705,109
36668,April,407.4,235,339145,94
36503,April,407.38,231,307748,85
37619,April,407.34,245,319466,89
36260,April,406.91,231,315801,88
36484,April,406.25,227,380829,106
35882,April,406.14,250,377566,105
36807,April,405.94,243,350354,97
37065,April,405.86,244,366404,102
37040,April,403.72,235,321276,89
37088,April,403.44,244,318224,88
36956,April,403.26,254,307266,85
37734,April,400.9,250,365221,101
37025,April,399.88,263,376123,104
36313,April,399.46,244,358510,100
37277,April,397.29,225,296901,82
37422,April,396.3,215,286138,79
37596,April,395.04,228,345014,96
37250,April,394.66,235,341992,95
35725,April,394.34,244,324582,90
36284,April,393.95,257,332882,92
37101,April,393.0,234,309097,86
37635,April,392.91,234,311222,86
35736,April,392.36,251,340805,95
37272,April,391.62,252,374320,104
37069,April,389.75,270,310406,86
36297,April,389.29,257,367958,102
35638,April,389.28,250,285123,79
37836,April,387.8,259,394157,109
36587,April,387.7,256,328475,91
36552,April,387.41,249,517980,144
36485,April,387.32,230,308624,86
36570,April,387.04,258,375611,104
35845,April,386.88,237,363250,101
36758,April,386.55,233,326633,91
36387,April,385.28,227,294878,82
37854,April,385.04,260,498471,138
37409,April,384.88,225,299371,83
37736,April,383.49,242,298261,83
36970,April,382.72,233,413782,115
37072,April,382.21,220,338797,94
36417,April,378.13,238,526418,146
37295,April,376.58,236,324715,90
36558,April,375.87,210,354009,98
37161,April,374.65,234,433268,120
37653,April,373.49,237,307800,86
36130,April,371.71,241,372702,104
36937,April,371.31,213,386000,107
37427,April,371.06,224,315272,88
36181,April,370.84,228,306932,85
36302,April,369.71,201,296784,82
37401,April,368.83,219,344469,96
36676,April,368.23,194,266255,74
36885,April,364.68,238,349107,97
37630,April,364.5,207,308821,86
35714,April,362.2,227,349552,97
36416,April,361.66,209,350156,97
35739,April,358.64,205,324191,90
36365,April,357.33,213,310167,86
36867,April,357.13,209,444631,124
37055,April,356.21,221,309667,86
37413,April,355.84,232,283878,79
36980,April,352.16,231,324278,90
36295,April,351.49,227,301554,84
36262,April,349.51,242,484222,135
36562,April,349.03,205,280896,78
37415,April,348.42,244,329623,92
37777,April,347.55,211,290357,81
36692,April,345.73,231,314444,87
37163,April,344.27,210,311172,86
37015,April,343.24,217,543861,151
36288,April,343.1,213,281805,78
37042,April,339.87,216,305794,85
36104,April,337.35,205,276660,77
36247,April,336.08,194,319727,89
37311,April,335.52,207,424938,118
36555,April,334.51,212,272795,76
36833,April,332.45,194,268374,75
37047,April,327.95,207,301086,84
37880,April,326.29,201,271092,75
36139,April,326.02,205,281140,78
37514,April,323.2,209,354399,98
36516,April,323.11,220,400964,111
36116,April,322.93,195,316722,88
36785,April,322.37,189,232938,65
36030,April,321.88,188,293083,81
36630,April,315.28,194,318353,88
37102,April,314.98,202,302211,84
36494,April,314.84,182,333565,93
37257,April,314.39,190,254616,71
36534,April,312.65,191,282682,79
37762,April,312.09,204,239406,67
36487,April,311.44,199,302013,84
36296,April,310.94,190,259756,72
37173,April,308.56,198,258085,72
37587,April,308.27,195,257041,71
36793,April,306.57,211,288210,80
36440,April,304.22,173,231313,64
37617,April,301.44,185,264600,74
35619,April,301.01,177,289751,80
37112,April,299.35,165,290331,81
36410,April,296.14,184,290087,81
36586,April,292.72,196,239305,66
36124,April,285.33,171,239985,67
36275,April,284.6,178,262997,73
36068,April,282.56,178,876475,243
37820,April,281.85,166,267307,74
37733,April,274.8,176,221158,61
36335,April,269.28,165,196018,54
36093,April,265.24,168,232588,65
36439,April,264.7,156,257804,72
37664,April,259.18,185,239106,66
28666,April,259.07,122,190010,53
36498,April,253.64,166,221950,62
37334,April,252.76,169,226491,63
36658,April,252.69,166,239085,66
36580,April,251.38,156,211337,59
35684,April,250.99,179,248711,69
35905,April,247.16,155,198990,55
36270,April,246.02,199,236548,66
36978,April,242.51,151,189830,53
37846,April,241.82,142,196314,55
36022,April,234.62,161,205160,57
37717,April,231.47,139,293052,81
37032,April,226.71,126,2332081,648
37326,April,224.3,155,181665,50
37520,April,224.06,136,185991,52
37485,April,223.23,137,200196,56
35950,April,222.92,140,167097,46
37437,April,218.03,142,177079,49
36489,April,217.39,135,186295,52
36409,April,217.0,152,200856,56
37411,April,215.14,136,199077,55
36155,April,214.83,152,182108,51
36985,April,211.46,147,201759,56
29312,April,211.25,107,175985,49
37504,April,208.16,149,296772,82
42688,April,206.73,144,202104,56
37181,April,203.27,130,285528,79
43827,April,202.39,129,196618,55
35985,April,200.17,125,194059,54
37759,April,197.93,139,167699,47
37548,April,196.14,98,119869,33
40531,April,194.55,128,148745,41
37498,April,189.06,129,157518,44
42764,April,188.5,124,129230,36
43774,April,188.11,142,160191,44
42812,April,184.36,121,165623,46
43342,April,183.87,132,167291,46
43753,April,183.76,117,148770,41
41712,April,183.51,124,152612,42
42927,April,182.82,126,167278,46
43254,April,181.57,119,128787,36
43303,April,180.02,122,184430,51
43849,April,178.85,111,143847,40
43172,April,177.73,141,183144,51
43639,April,176.96,128,144185,40
37703,April,176.92,106,128163,36
43713,April,176.39,120,144245,40
43179,April,176.07,125,143950,40
43523,April,175.98,113,147325,41
43454,April,175.93,131,167580,47
43028,April,175.2,118,152593,42
43313,April,175.13,113,150378,42
43655,April,174.1,117,142879,40
42735,April,173.88,140,167695,47
42551,April,173.82,127,150507,42
36480,April,173.13,94,139219,39
39309,April,172.27,136,158056,44
43199,April,171.76,122,255369,71
36298,April,171.72,111,167869,47
36641,April,171.32,101,264649,74
42560,April,170.68,105,145953,41
41946,April,170.6,123,133544,37
43432,April,170.59,149,207663,58
36556,April,170.26,114,177522,49
43186,April,169.95,132,228348,63
42798,April,169.2,112,141693,39
43231,April,169.06,125,146756,41
41437,April,168.77,140,175690,49
41075,April,168.59,116,128529,36
43405,April,167.59,105,144515,40
43660,April,167.08,117,137828,38
43193,April,166.6,106,137824,38
39580,April,166.51,110,141954,39
43380,April,166.38,129,187488,52
43160,April,166.18,97,127795,35
39401,April,165.58,119,144548,40
43023,April,165.27,128,149604,42
42840,April,164.42,122,156395,43
42836,April,164.07,114,132732,37
43208,April,163.81,121,133913,37
43275,April,163.77,114,135766,38
39351,April,163.53,122,184426,51
41925,April,163.48,103,136300,38
41517,April,163.05,124,128960,36
42905,April,162.89,120,131621,37
40958,April,162.86,102,124236,35
41817,April,162.53,121,130342,36
39398,April,162.38,130,168881,47
43788,April,162.28,123,147249,41
43732,April,162.08,121,147339,41
42868,April,161.82,118,136226,38
43358,April,161.82,130,131755,37
43512,April,161.75,113,167511,47
42757,April,161.71,119,152464,42
43087,April,161.6,102,147248,41
42806,April,161.25,129,132426,37
42827,April,161.22,114,172981,48
43332,April,161.14,123,157820,44
43625,April,161.05,114,319845,89
43063,April,161.0,122,155253,43
42652,April,160.79,125,124365,35
42947,April,160.77,97,130102,36
39429,April,160.65,116,133809,37
40786,April,160.6,109,124301,35
43091,April,160.41,124,163270,45
43646,April,160.24,116,143158,40
43878,April,160.14,142,175168,49
43255,April,159.87,107,139085,39
43316,April,159.77,127,121956,34
42901,April,159.4,115,149479,42
43125,April,159.39,138,134207,37
42983,April,158.94,122,343745,95
38676,April,158.84,94,145287,40
42731,April,158.45,87,112460,31
43227,April,158.13,116,164340,46
41123,April,158.04,112,158953,44
43106,April,157.88,100,143591,40
40865,April,157.83,107,131291,36
42966,April,157.52,93,122166,34
43456,April,157.42,109,115127,32
42718,April,157.23,89,107395,30
42777,April,157.21,99,355036,99
43617,April,156.99,104,135182,38
43259,April,156.89,101,141243,39
43396,April,156.87,113,146326,41
43389,April,156.8,126,147952,41
43816,April,156.76,122,153443,43
43075,April,156.39,114,146653,41
39869,April,156.12,110,132635,37
43392,April,156.03,96,119181,33
43586,April,156.02,104,361464,100
42904,April,155.54,102,120745,34
43866,April,155.32,118,142836,40
43627,April,154.73,123,128581,36
40620,April,154.63,103,160979,45
40571,April,154.57,101,125909,35
42867,April,154.52,115,163327,45
41899,April,154.4,115,125874,35
43861,April,154.22,89,116616,32
43869,April,153.91,104,225955,63
42995,April,153.84,115,136869,38
38669,April,153.76,129,156802,44
41481,April,153.69,108,138378,38
42972,April,153.69,100,115473,32
42849,April,153.65,112,142630,40
42861,April,153.36,112,119557,33
43164,April,153.28,133,172672,48
38929,April,153.22,111,135055,38
43229,April,152.81,109,154467,43
33961,April,152.81,118,135640,38
43195,April,152.67,116,144407,40
42885,April,152.52,113,147259,41
42891,April,152.52,103,122518,34
43596,April,152.49,98,117738,33
41062,April,152.39,124,162400,45
43785,April,152.24,128,143816,40
41824,April,152.17,103,116048,32
42908,April,152.16,116,142686,40
39482,April,152.12,109,135410,38
43702,April,151.96,113,121722,34
42912,April,151.94,115,141359,39
42604,April,151.85,113,129869,36
38855,April,151.76,117,168740,47
42837,April,151.72,118,128994,36
42967,April,151.71,105,130241,36
42838,April,151.7,111,133993,37
43546,April,151.67,106,148713,41
43273,April,151.4,123,181251,50
43328,April,151.28,121,120438,33
41522,April,150.99,109,148682,41
43077,April,150.84,119,144468,40
42807,April,150.83,99,128379,36
43550,April,150.8,106,151470,42
42959,April,150.76,105,131819,37
43690,April,150.59,108,123246,34
38224,April,150.38,101,129455,36
43823,April,150.35,94,113714,32
43545,April,150.15,106,134701,37
42853,April,150.13,99,141624,39
39119,April,150.11,99,111747,31
38892,April,149.84,108,135782,38
43330,April,149.75,101,118257,33
43064,April,149.49,106,119483,33
42863,April,149.46,103,118834,33
42754,April,149.45,109,140779,39
42828,April,149.34,121,147705,41
41324,April,149.34,108,148912,41
43034,April,149.2,94,150560,42
42864,April,148.77,114,137755,38
39886,April,148.64,98,125061,35
36005,April,148.59,99,154981,43
41159,April,148.57,106,127136,35
43049,April,148.42,120,152904,42
43624,April,148.34,102,181840,51
43352,April,148.24,99,134211,37
43742,April,148.09,111,119016,33
43683,April,147.92,134,206962,57
