bikeid,month,mileage,biketrips,tripduration,hours
37088,March,598.12,369,384325,107
35725,March,591.34,356,415434,115
36416,March,588.41,366,402374,112
36273,March,580.11,345,363055,101
36109,March,576.31,361,376259,105
37042,March,570.03,384,402509,112
37112,March,565.17,368,392162,109
36568,March,555.49,358,381322,106
37755,March,555.11,336,410024,114
36676,March,553.05,337,385004,107
36069,March,552.51,339,446656,124
37078,March,548.47,368,495240,138
37416,March,547.61,355,376130,104
37277,March,546.74,359,409507,114
37295,March,544.35,358,376812,105
36970,March,541.42,357,395640,110
36295,March,538.46,338,397801,111
37548,March,538.3,349,393441,109
36562,March,536.22,349,385022,107
35739,March,535.3,347,344160,96
36668,March,534.88,336,337708,94
37069,March,526.77,350,369626,103
36692,March,522.47,330,375265,104
37703,March,522.3,342,367563,102
37854,March,521.01,329,350920,97
36473,March,515.98,327,332514,92
36488,March,515.48,324,403043,112
37257,March,514.36,296,345895,96
37459,March,513.75,318,328920,91
37733,March,511.38,338,376763,105
35779,March,508.76,325,339595,94
35989,March,506.49,318,368175,102
35985,March,506.12,317,338182,94
37630,March,504.57,325,404273,112
36867,March,504.35,323,373362,104
36487,March,503.54,338,355337,99
36262,March,502.62,336,401389,111
37274,March,501.54,339,370850,103
36130,March,496.59,310,306729,85
37415,March,494.77,311,353239,98
37013,March,494.77,329,491832,137
36147,March,493.74,310,354453,98
35794,March,493.34,307,352014,98
36807,March,492.66,314,376831,105
36387,March,491.45,350,340194,94
36296,March,487.78,317,350034,97
37101,March,487.6,327,364229,101
36695,March,487.13,336,386813,107
37427,March,484.85,328,347895,97
36534,March,484.12,324,345176,96
37587,March,483.89,318,416545,116
37777,March,483.8,339,373015,104
37009,March,481.78,330,314888,87
36043,March,480.24,341,499412,139
36552,March,476.33,309,419953,117
36559,March,475.97,300,705810,196
36537,March,474.39,336,349580,97
36423,March,470.2,303,534699,149
37032,March,467.84,316,365204,101
37401,March,467.63,323,322646,90
37072,March,467.31,282,350821,97
36937,March,464.71,322,327642,91
37137,March,464.63,320,290397,81
36876,March,464.34,279,310048,86
37093,March,463.4,309,338568,94
36864,March,462.52,310,313168,87
35618,March,461.59,313,337975,94
36324,March,460.06,280,301946,84
36139,March,459.25,303,338194,94
37706,March,459.04,316,370529,103
37358,March,458.66,308,330225,92
37303,March,458.56,315,512555,142
36980,March,457.09,296,373877,104
37717,March,457.06,296,362249,101
37202,March,456.02,302,340439,95
36328,March,454.36,309,375181,104
37736,March,452.67,271,329347,91
37460,March,450.65,296,320845,89
36587,March,450.56,304,319420,89
36410,March,450.54,304,292498,81
36962,March,449.12,302,338690,94
36323,March,448.52,286,331558,92
37742,March,448.11,268,314948,87
36097,March,447.18,300,343711,95
37039,March,447.06,283,339815,94
36086,March,446.93,268,310620,86
36030,March,446.26,309,333138,93
37040,March,446.03,320,354827,99
36247,March,444.64,303,347922,97
35972,March,443.66,290,286516,80
37664,March,443.38,312,323501,90
37061,March,441.16,298,1010216,281
