bikeid,month,mileage,biketrips,tripduration,hours
36030,May,566.65,294,504782,140
36987,May,563.56,282,459414,128
36108,May,563.33,294,459796,128
37160,May,562.4,294,577965,161
37634,May,560.01,308,458544,127
37844,May,550.62,282,479863,133
37765,May,536.73,305,447948,124
36700,May,536.23,290,450663,125
37596,May,530.91,273,452004,126
37346,May,527.93,306,441517,123
36303,May,525.8,312,496040,138
36604,May,524.02,276,413056,115
36388,May,521.43,267,363365,101
35872,May,518.96,254,443123,123
35868,May,518.81,301,513271,143
37564,May,516.02,278,439570,122
37349,May,514.06,275,408144,113
37823,May,509.4,256,478304,133
37117,May,508.88,284,376360,105
35869,May,506.89,281,429741,119
36210,May,506.29,262,546957,152
37593,May,505.02,300,477235,133
36202,May,504.34,283,363663,101
37683,May,504.23,296,427965,119
37105,May,503.52,269,562279,156
36621,May,503.5,251,415684,115
36670,May,503.28,287,422808,117
35855,May,502.62,248,424416,118
36261,May,502.2,257,390353,108
37214,May,498.84,272,507102,141
37506,May,497.64,293,423307,118
37333,May,497.36,267,424524,118
37041,May,494.33,271,453801,126
36060,May,489.79,271,430196,119
37799,May,489.32,300,430537,120
37859,May,488.37,279,541762,150
35999,May,488.12,265,463215,129
37537,May,488.09,258,449088,125
36623,May,488.01,257,389535,108
36332,May,487.68,266,373671,104
37607,May,486.84,271,389599,108
37411,May,485.79,272,405232,113
36146,May,485.61,293,418997,116
37886,May,485.15,256,412879,115
35666,May,484.82,258,413765,115
35968,May,484.01,252,370290,103
37841,May,478.59,269,521035,145
36211,May,477.2,251,443114,123
35850,May,476.15,251,378620,105
35841,May,475.84,268,376835,105
37420,May,475.79,300,442660,123
36735,May,474.32,262,399868,111
36359,May,474.08,269,432277,120
36109,May,471.16,241,347138,96
36241,May,469.49,235,440636,122
36305,May,469.46,267,385319,107
36608,May,468.98,251,408294,113
37749,May,468.88,257,399717,111
37161,May,468.64,265,532278,148
36096,May,467.66,269,400635,111
36234,May,466.16,273,473260,131
36404,May,463.75,261,418866,116
36240,May,462.87,255,374549,104
36462,May,462.52,255,431556,120
36523,May,461.99,256,360542,100
36913,May,460.49,253,380838,106
36559,May,459.51,243,377300,105
35954,May,459.32,283,412466,115
37820,May,458.15,247,343216,95
37459,May,457.96,256,389240,108
36005,May,457.81,243,470384,131
36591,May,457.59,282,413069,115
36676,May,457.58,267,402823,112
36497,May,457.16,262,610260,170
37512,May,457.11,252,379454,105
36360,May,457.02,269,406890,113
36263,May,456.92,280,453703,126
36536,May,456.16,246,399855,111
37003,May,456.15,277,479383,133
35853,May,455.28,245,371248,103
36242,May,453.83,262,415941,116
36615,May,453.29,247,367201,102
36746,May,453.15,246,363358,101
35745,May,452.89,268,434274,121
36923,May,452.64,240,344332,96
35638,May,451.26,259,461299,128
36355,May,449.43,249,388684,108
35806,May,449.42,232,354962,99
37828,May,449.24,237,396539,110
36940,May,445.77,236,391582,109
36052,May,445.43,246,354044,98
36296,May,445.04,239,328649,91
35995,May,444.27,238,410345,114
37885,May,444.21,256,373459,104
35970,May,443.54,237,455909,127
37815,May,443.43,254,382110,106
37319,May,442.83,251,414959,115
36555,May,441.94,219,377117,105
36939,May,441.53,261,421546,117
35945,May,441.38,235,378974,105
37717,May,441.31,251,384876,107
36365,May,440.08,247,391889,109
36316,May,439.97,250,370623,103
35725,May,439.85,245,363676,101
35651,May,439.25,240,367242,102
37047,May,439.23,232,480677,134
37808,May,438.95,246,365327,101
37482,May,438.9,273,414097,115
37891,May,438.52,278,447066,124
37491,May,438.35,248,346874,96
37042,May,437.61,257,401428,112
37734,May,437.6,232,360513,100
36818,May,436.76,239,396298,110
36480,May,436.71,240,354632,99
36140,May,435.54,233,338200,94
37553,May,435.0,258,416139,116
36196,May,434.33,249,406929,113
36538,May,433.87,215,425767,118
36418,May,433.68,270,403587,112
36233,May,433.28,235,451228,125
37100,May,433.18,272,425880,118
37736,May,433.13,223,351773,98
35769,May,432.56,221,387562,108
37822,May,431.87,223,363237,101
36515,May,431.31,247,399787,111
36962,May,430.31,242,400432,111
35974,May,429.27,234,421134,117
37510,May,429.24,234,377038,105
36607,May,428.07,260,706655,196
37011,May,427.32,238,410653,114
35891,May,427.31,241,434127,121
37460,May,427.24,229,378750,105
35844,May,426.79,217,328661,91
37450,May,426.46,232,393005,109
37134,May,425.65,255,408408,113
37659,May,425.38,237,421774,117
36502,May,424.95,226,361952,101
37078,May,424.87,229,357888,99
36235,May,424.14,243,393348,109
35706,May,423.87,233,365865,102
36484,May,423.62,248,408143,113
36782,May,422.85,251,791705,220
37064,May,422.56,230,345733,96
35873,May,422.41,253,347575,97
36297,May,421.58,257,526337,146
35618,May,421.37,227,356109,99
37530,May,420.85,220,368539,102
37216,May,420.18,237,388599,108
36894,May,417.89,245,346403,96
36339,May,417.66,215,402977,112
35760,May,416.93,215,502497,140
37451,May,415.74,244,358010,99
36643,May,415.66,213,362407,101
36461,May,414.54,245,388102,108
36965,May,414.41,222,381024,106
36707,May,414.34,226,455248,126
36552,May,413.91,231,346279,96
36285,May,412.45,233,592457,165
36474,May,412.18,205,283915,79
36223,May,411.94,224,312667,87
36421,May,411.37,220,345453,96
37778,May,410.2,233,432876,120
35985,May,409.55,226,404727,112
36810,May,409.36,234,419387,116
36459,May,408.34,232,376539,105
36755,May,407.78,247,367816,102
37302,May,407.67,236,388213,108
37620,May,407.49,218,314256,87
36516,May,407.43,225,349733,97
36756,May,406.36,219,339027,94
36250,May,403.94,249,355134,99
37283,May,403.92,218,341333,95
37494,May,403.32,210,449951,125
35798,May,403.22,223,342805,95
37760,May,403.11,242,392320,109
36203,May,402.56,238,380323,106
36260,May,402.42,212,338044,94
36150,May,401.8,214,369347,103
36164,May,401.73,233,361531,100
37790,May,401.44,248,362871,101
36473,May,401.35,230,398107,111
37599,May,401.25,225,344108,96
37272,May,400.88,217,338240,94
36582,May,400.39,208,381488,106
35874,May,400.06,216,422890,117
35649,May,399.8,210,354928,99
36394,May,399.69,230,341661,95
36466,May,399.11,218,412547,115
35898,May,398.92,235,368180,102
37751,May,398.4,224,426581,118
37415,May,398.37,243,336381,93
37668,May,397.39,234,359171,100
35682,May,397.39,234,433909,121
36673,May,397.23,218,376947,105
37175,May,397.08,203,366258,102
36003,May,397.08,205,400095,111
37145,May,397.01,235,343797,95
35910,May,396.99,244,376751,105
36905,May,396.91,243,455011,126
36306,May,396.87,232,516935,144
36911,May,396.17,235,332243,92
36171,May,395.8,235,459374,128
36181,May,395.49,214,342401,95
37087,May,395.13,210,309999,86
37422,May,394.28,203,360521,100
36499,May,393.42,233,388646,108
36653,May,393.42,199,341765,95
35848,May,392.26,226,385028,107
36400,May,391.78,247,439746,122
36629,May,391.75,190,571814,159
37380,May,389.99,232,369598,103
36550,May,388.34,223,470851,131
36159,May,388.15,217,339489,94
36113,May,387.86,199,321471,89
36622,May,386.92,198,306346,85
35950,May,386.16,218,374975,104
35989,May,385.42,220,314394,87
37065,May,384.22,251,457440,127
36138,May,383.53,213,329238,91
37897,May,383.35,220,358496,100
36684,May,382.47,225,350009,97
37277,May,382.39,211,354891,99
36284,May,381.94,220,352793,98
43247,May,381.88,258,391516,109
37081,May,381.65,219,338204,94
37712,May,381.18,226,521021,145
37294,May,380.66,208,314382,87
37812,May,379.75,192,338281,94
37164,May,379.46,217,326071,91
37112,May,378.51,223,326645,91
36366,May,377.07,219,460374,128
36562,May,376.9,222,305999,85
36195,May,376.81,193,302168,84
36853,May,376.48,225,360908,100
36460,May,375.34,205,362352,101
35648,May,375.04,223,376236,105
36325,May,374.64,189,338143,94
36696,May,374.57,208,341999,95
36312,May,372.26,231,348489,97
35854,May,371.4,198,463894,129
35671,May,370.68,222,339083,94
36177,May,370.41,213,373346,104
36143,May,370.2,228,336222,93
36092,May,369.99,214,338937,94
36288,May,369.33,185,313333,87
37674,May,368.16,195,273979,76
36469,May,368.13,213,329031,91
37721,May,367.79,214,419259,116
36488,May,367.55,210,384838,107
37396,May,365.6,205,323107,90
36974,May,365.08,226,365182,101
35655,May,364.85,199,358748,100
36356,May,364.32,225,349797,97
35870,May,361.91,204,344064,96
37093,May,361.51,189,320729,89
36992,May,361.24,227,434963,121
35672,May,360.94,212,321915,89
36204,May,360.24,194,296404,82
36867,May,360.06,211,307256,85
37191,May,359.86,197,397504,110
36399,May,359.86,228,309357,86
36708,May,359.69,197,402839,112
36145,May,359.1,222,350021,97
36824,May,359.02,212,323600,90
36685,May,359.02,220,361091,100
36121,May,358.74,201,454878,126
37708,May,358.69,197,297055,83
37652,May,358.44,186,338091,94
37196,May,358.21,210,281279,78
36757,May,357.72,200,381182,106
36053,May,357.22,214,349155,97
37787,May,357.22,197,326478,91
36758,May,355.91,206,312827,87
43052,May,355.13,235,334799,93
37066,May,355.13,202,258413,72
37334,May,354.6,190,293502,82
37733,May,354.32,195,607769,169
36131,May,353.9,181,297007,83
37239,May,353.75,210,504097,140
43438,May,353.3,256,404609,112
37619,May,351.47,181,276626,77
36503,May,350.85,206,362854,101
36668,May,350.8,174,296115,82
37609,May,350.76,181,317557,88
36041,May,349.95,207,364841,101
35994,May,349.62,197,572924,159
37039,May,348.61,215,346834,96
37715,May,348.34,223,338108,94
36733,May,347.81,206,431056,120
39763,May,347.66,235,313905,87
36334,May,347.45,225,484639,135
43733,May,347.39,253,732160,203
43532,May,347.26,229,336228,93
36492,May,346.62,188,366273,102
37585,May,346.56,175,397179,110
43880,May,346.53,194,266217,74
37657,May,346.34,194,308462,86
36170,May,346.16,189,707209,196
43811,May,345.05,212,311126,86
37257,May,344.88,215,307443,85
37759,May,344.51,183,314961,87
37427,May,344.44,189,319734,89
36130,May,344.3,181,345062,96
36412,May,344.29,168,270351,75
43215,May,344.12,233,327168,91
37669,May,341.94,180,289053,80
43830,May,341.7,232,556102,154
37784,May,341.23,179,299079,83
37881,May,341.2,189,403516,112
37467,May,340.98,188,278250,77
37836,May,340.85,201,353852,98
35991,May,340.83,202,391456,109
36956,May,339.8,194,302600,84
36876,May,339.49,197,339233,94
36013,May,339.48,195,320805,89
43131,May,339.42,235,319526,89
43841,May,339.39,220,318255,88
43703,May,339.11,215,292672,81
37878,May,337.0,233,342558,95
37009,May,336.77,185,390265,108
41568,May,335.97,231,353188,98
36586,May,334.98,180,353849,98
43160,May,334.27,233,376357,105
43434,May,333.9,210,287941,80
35857,May,333.59,205,272526,76
40488,May,333.55,238,319531,89
43763,May,333.55,223,297800,83
37797,May,333.33,229,302091,84
37825,May,333.13,196,434190,121
36885,May,333.04,194,289081,80
42842,May,332.23,209,364602,101
36692,May,331.86,172,287446,80
43862,May,331.67,236,319965,89
43016,May,331.36,212,337814,94
43186,May,331.16,241,314490,87
37088,May,331.09,202,311102,86
36440,May,330.73,195,328245,91
36392,May,330.06,181,284781,79
42881,May,329.57,222,402547,112
43288,May,329.35,239,306836,85
35992,May,329.22,188,299502,83
36793,May,329.05,178,266131,74
36500,May,328.82,179,319261,89
37762,May,328.18,184,310537,86
35967,May,327.96,183,301516,84
43073,May,326.54,244,306765,85
37015,May,326.12,188,292661,81
42919,May,325.95,198,260857,72
36711,May,325.3,188,288001,80
41005,May,325.15,208,385877,107
36630,May,325.03,203,288962,80
37488,May,324.45,189,311760,87
36970,May,324.08,218,309260,86
40090,May,324.03,230,293178,81
43550,May,323.94,227,299856,83
43587,May,323.6,216,288875,80
37397,May,322.83,190,269697,75
43207,May,322.82,215,292928,81
43903,May,322.2,193,308762,86
36553,May,321.98,203,380502,106
37557,May,321.98,190,970450,270
37643,May,321.97,181,304329,85
43807,May,321.95,212,276099,77
36620,May,321.9,209,323428,90
41522,May,321.62,207,284863,79
37752,May,320.95,194,304240,85
43541,May,320.78,208,277885,77
36104,May,320.73,202,1088736,302
35716,May,320.14,174,309806,86
36689,May,319.63,186,288865,80
36658,May,319.44,173,260266,72
36820,May,319.1,176,890109,247
37121,May,319.01,182,301959,84
43815,May,318.67,228,330814,92
36485,May,317.37,200,296291,82
37155,May,316.94,189,322866,90
43591,May,316.72,192,304378,85
43695,May,316.57,214,280688,78
37199,May,316.41,170,353856,98
42769,May,316.36,221,307747,85
36313,May,316.24,195,322382,90
43826,May,315.85,213,292657,81
37098,May,314.99,188,325283,90
43436,May,314.88,196,245831,68
38524,May,314.08,187,269819,75
35899,May,313.78,172,300155,83
43510,May,313.57,228,322557,90
35879,May,313.56,186,292587,81
41292,May,313.46,233,329993,92
42892,May,313.23,212,275288,76
38302,May,313.11,214,286358,80
42911,May,313.09,227,306964,85
35793,May,313.04,186,294492,82
43585,May,313.02,218,285978,79
43719,May,312.38,198,282349,78
43729,May,312.23,211,296479,82
39333,May,312.19,190,380762,106
40267,May,312.11,193,270588,75
35865,May,311.95,199,352547,98
41274,May,311.61,201,256893,71
35864,May,311.13,175,254762,71
43388,May,310.82,246,415451,115
43459,May,310.72,221,285957,79
43474,May,310.45,221,312640,87
37523,May,310.29,171,491909,137
36128,May,310.07,191,301219,84
37833,May,309.98,153,566138,157
35918,May,309.34,201,382162,106
40508,May,309.32,222,321999,89
42901,May,309.22,205,269233,75
43174,May,309.21,228,291189,81
43397,May,308.82,206,302893,84
43475,May,308.64,230,258292,72
37401,May,308.41,183,295432,82
41757,May,308.29,195,261147,73
36902,May,307.84,190,306104,85
35737,May,307.7,188,282263,78
40355,May,307.61,210,288304,80
43693,May,307.43,211,366378,102
36286,May,307.41,177,285571,79
37423,May,306.74,196,340319,95
42958,May,306.71,214,317176,88
41896,May,306.68,220,305208,85
42664,May,306.64,196,252740,70
43425,May,306.53,215,333466,93
43038,May,306.51,217,301335,84
36247,May,305.85,156,331737,92
43189,May,305.77,209,289110,80
40115,May,305.4,222,298822,83
42982,May,305.27,208,284340,79
43442,May,305.23,224,267881,74
43384,May,305.04,219,314443,87
42837,May,304.77,218,296293,82
41514,May,304.63,207,299908,83
41951,May,304.49,209,294666,82
43066,May,304.28,210,280181,78
41145,May,303.98,195,265137,74
43090,May,303.93,225,310731,86
41994,May,303.73,220,263764,73
40342,May,303.73,213,304112,84
43648,May,303.24,178,354983,99
43905,May,303.21,219,271576,75
41862,May,303.08,209,299979,83
42963,May,303.06,186,258796,72
36417,May,302.88,172,263836,73
36335,May,302.58,154,239686,67
35739,May,302.5,178,271924,76
43904,May,302.33,211,424360,118
35882,May,302.29,182,278145,77
35983,May,302.2,142,225834,63
33765,May,302.1,187,258770,72
36656,May,301.9,173,257029,71
43051,May,301.84,207,299682,83
41872,May,301.69,206,275238,76
43706,May,301.67,268,295855,82
35714,May,301.56,163,245754,68
37435,May,301.51,166,260332,72
43634,May,301.34,222,282045,78
36331,May,301.21,186,257220,71
40134,May,301.04,212,299566,83
43089,May,301.02,229,473163,131
42784,May,301.01,212,276115,77
43224,May,300.95,195,276233,77
36489,May,300.9,178,383387,106
40164,May,300.81,202,304565,85
40543,May,300.77,220,266580,74
42927,May,300.72,206,276957,77
40697,May,300.53,205,264259,73
41254,May,300.34,194,238074,66
37802,May,300.26,147,202254,56
42878,May,300.08,202,284380,79
38363,May,300.05,209,285817,79
42932,May,299.96,226,476896,132
43339,May,299.92,202,323499,90
43331,May,299.88,202,291778,81
43310,May,299.47,210,426279,118
37862,May,299.28,174,256811,71
37202,May,299.01,180,317138,88
35708,May,298.76,183,277011,77
40989,May,298.73,193,246145,68
43486,May,298.71,226,302059,84
43112,May,298.5,215,333220,93
35631,May,298.49,182,279378,78
42989,May,298.33,193,266359,74
41732,May,298.16,195,285108,79
35063,May,298.04,197,397440,110
42757,May,297.98,180,255564,71
42969,May,297.95,202,285682,79
43372,May,297.8,196,290237,81
40765,May,297.74,201,230448,64
41785,May,297.27,216,309190,86
42692,May,296.8,183,287004,80
43573,May,296.62,222,308225,86
36616,May,296.14,165,267312,74
41930,May,296.11,235,286480,80
36219,May,296.11,183,276612,77
36985,May,296.08,186,357677,99
37520,May,295.97,180,260240,72
37835,May,295.46,185,301436,84
38439,May,295.31,209,393848,109
43617,May,295.13,200,251414,70
40357,May,295.07,207,273429,76
43375,May,295.04,206,257205,71
37054,May,295.01,157,322254,90
42794,May,294.94,212,257999,72
41780,May,294.81,218,366398,102
40136,May,294.8,215,335624,93
42031,May,294.55,206,262165,73
43488,May,294.34,211,282159,78
37025,May,294.28,177,203879,57
40292,May,294.21,204,256838,71
41318,May,294.19,193,262785,73
41731,May,293.79,182,237227,66
42968,May,293.7,221,283918,79
