bikeid,month,mileage,biketrips,tripduration,hours
49378,December,347.56,246,221510,62
49927,December,337.88,245,200673,56
49826,December,337.1,250,210821,59
48026,December,336.75,224,214329,60
47748,December,333.74,235,299781,83
48358,December,330.92,229,188465,52
49888,December,330.33,212,208502,58
49460,December,320.32,207,264155,73
47913,December,320.13,192,235983,66
48472,December,318.04,223,207918,58
49773,December,316.83,197,180909,50
35770,December,316.53,252,194886,54
47469,December,315.38,198,187976,52
37537,December,315.25,238,185922,52
49303,December,314.14,189,186274,52
49469,December,311.34,197,179150,50
48172,December,310.69,206,193297,54
47923,December,309.91,222,183256,51
48467,December,307.87,233,195236,54
48122,December,307.73,220,183755,51
47895,December,306.14,208,282100,78
36504,December,305.95,223,190517,53
48514,December,305.3,213,165487,46
36400,December,305.13,214,180898,50
35671,December,304.92,217,189954,53
47894,December,303.95,206,174706,49
48374,December,303.26,204,188955,52
47876,December,303.14,216,195429,54
49502,December,302.77,207,188768,52
37624,December,302.36,219,192288,53
37625,December,302.11,212,185571,52
49326,December,301.69,226,196177,54
48210,December,301.48,212,189347,53
47514,December,301.15,220,203647,57
49442,December,300.78,218,177018,49
37368,December,299.56,213,186905,52
36437,December,299.41,221,172821,48
47885,December,299.18,198,178141,49
48159,December,297.99,194,190956,53
47934,December,297.31,195,181785,50
48202,December,297.31,199,175543,49
48884,December,296.4,210,186857,52
36472,December,296.22,209,181757,50
48063,December,295.66,189,195124,54
49485,December,295.58,198,180764,50
49782,December,294.59,219,175309,49
36482,December,294.37,227,186851,52
48967,December,294.29,214,194432,54
47499,December,294.15,208,206636,57
49398,December,294.02,199,172200,48
35673,December,293.99,182,179237,50
35842,December,293.84,187,175584,49
47970,December,292.78,213,175246,49
49513,December,292.78,223,171921,48
34745,December,292.51,218,205197,57
34858,December,292.49,208,197171,55
49098,December,292.47,212,192260,53
47685,December,292.39,198,183562,51
49100,December,292.23,188,180932,50
37520,December,291.88,219,199270,55
34817,December,291.88,195,187767,52
49279,December,291.86,199,188405,52
47356,December,291.71,203,170079,47
36090,December,291.67,207,186571,52
48460,December,291.6,211,217241,60
49334,December,290.79,201,182016,51
48381,December,290.64,225,186564,52
49758,December,289.68,220,173073,48
36593,December,289.3,213,173037,48
47374,December,289.25,203,166143,46
47732,December,289.1,207,198991,55
49448,December,288.71,202,180202,50
47680,December,288.49,184,262344,73
36017,December,288.36,183,177258,49
48591,December,288.32,203,188780,52
37334,December,288.29,215,199778,55
37336,December,287.09,202,168581,47
37262,December,286.94,204,164173,46
47437,December,286.83,204,203366,56
48670,December,286.75,211,189552,53
48198,December,286.34,204,177322,49
36992,December,286.31,200,178359,50
37182,December,286.31,205,217141,60
48551,December,286.26,218,176920,49
47968,December,286.16,196,167818,47
48671,December,286.09,195,205837,57
49816,December,285.96,216,161726,45
49148,December,285.94,210,181215,50
48542,December,285.67,195,172937,48
37598,December,285.41,202,189939,53
49651,December,285.26,189,185544,52
36946,December,285.18,198,189031,53
47371,December,285.06,221,194526,54
49538,December,284.65,190,177051,49
37298,December,284.63,198,176376,49
48647,December,284.39,212,170603,47
47523,December,284.2,195,170152,47
48462,December,284.12,219,177717,49
36336,December,284.11,189,177463,49
49856,December,283.99,208,201604,56
37546,December,283.94,174,159898,44
36342,December,282.99,215,181659,50
48053,December,282.86,185,175194,49
48039,December,282.65,183,175374,49
49461,December,282.64,199,166065,46
48290,December,282.31,185,175966,49
37509,December,282.23,176,206521,57
48014,December,282.14,187,174549,48
49363,December,282.04,184,172812,48
47483,December,281.76,212,180271,50
48329,December,281.69,221,189782,53
35657,December,281.67,222,188439,52
36904,December,281.6,193,184423,51
49294,December,281.03,190,165846,46
48610,December,280.95,207,170604,47
48707,December,280.45,207,166652,46
36659,December,280.08,214,181619,50
49391,December,279.66,191,169885,47
49699,December,279.66,173,173683,48
49931,December,279.52,226,204080,57
47966,December,279.39,193,164689,46
34717,December,279.22,183,173475,48
49568,December,279.2,176,172956,48
49299,December,279.13,187,157285,44
37309,December,278.68,195,183403,51
47858,December,278.65,182,250919,70
48327,December,278.54,209,181426,50
36798,December,278.52,177,159952,44
37792,December,278.4,191,168010,47
36921,December,278.34,188,165759,46
49828,December,278.29,191,186895,52
36679,December,278.08,193,169805,47
48416,December,277.77,191,177101,49
49995,December,277.52,190,164759,46
46594,December,277.24,201,185556,52
48818,December,277.03,198,184734,51
48393,December,276.97,181,174037,48
49715,December,276.96,198,167025,46
49547,December,276.77,167,154624,43
37079,December,276.43,193,176508,49
36660,December,276.23,188,163589,45
49863,December,276.09,205,181856,51
48562,December,276.07,196,159751,44
47847,December,276.03,192,169419,47
48449,December,275.86,192,210518,58
47368,December,275.84,167,181969,51
49097,December,275.79,191,169489,47
36412,December,275.73,186,172615,48
49874,December,275.66,221,180979,50
35871,December,275.66,206,162870,45
34766,December,275.65,192,219640,61
48505,December,275.49,192,177304,49
49348,December,275.48,188,160483,45
49798,December,275.28,211,174293,48
49648,December,275.26,184,164167,46
49814,December,275.17,207,166464,46
37727,December,275.11,205,160263,45
49410,December,275.06,187,171417,48
49891,December,275.04,214,185636,52
36132,December,275.02,217,258847,72
