tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,bike_route_order
4153,42:38.9,51:52.5,3724,7 Ave & Central Park South,40.76674056,-73.97906899,3724,7 Ave & Central Park South,40.76674056,-73.97906899,41935,Customer,2001,1,169
1340,04:17.9,26:37.9,3724,7 Ave & Central Park South,40.76674056,-73.97906899,3325,E 95 St & 3 Ave,40.7849032,-73.950503,41935,Subscriber,1972,2,170
499,11:28.0,19:47.8,3325,E 95 St & 3 Ave,40.7849032,-73.950503,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,41935,Subscriber,1989,1,171
146,59:20.5,01:46.9,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,3140,1 Ave & E 78 St,40.77140426,-73.9535166,41935,Subscriber,1987,1,172
198,51:22.1,54:41.1,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3725,2 Ave & E 72 St,40.76876203,-73.95840794,41935,Subscriber,1994,1,173
247,17:12.8,21:20.7,3725,2 Ave & E 72 St,40.76876203,-73.95840794,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,41935,Subscriber,1979,1,174
569,35:07.7,44:37.5,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,3288,E 88 St & 1 Ave,40.778301,-73.9488134,41935,Subscriber,1963,1,175
314,10:47.9,16:02.2,3288,E 88 St & 1 Ave,40.778301,-73.9488134,3140,1 Ave & E 78 St,40.77140426,-73.9535166,41935,Subscriber,1991,1,176
276,24:47.3,29:24.2,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3150,E 85 St & York Ave,40.77536905,-73.94803392,41935,Subscriber,1992,0,177
1838,33:17.9,03:56.3,3150,E 85 St & York Ave,40.77536905,-73.94803392,3649,W 129 St & Convent Ave,40.81439444,-73.95324737,41935,Subscriber,1988,2,178
473,35:40.5,43:33.9,3649,W 129 St & Convent Ave,40.81439444,-73.95324737,3507,Park Ave & E 124 St,40.8045555,-73.93968609999999,41935,Customer,1982,1,179
628,00:01.3,10:29.8,3507,Park Ave & E 124 St,40.8045555,-73.93968609999999,3497,Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,41935,Subscriber,1997,1,180
630,54:55.2,05:26.1,3497,Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,3367,5 Ave & E 103 St,40.792255299999994,-73.95249933,41935,Subscriber,1958,1,181
904,40:18.4,55:22.6,3367,5 Ave & E 103 St,40.792255299999994,-73.95249933,3375,3 Ave & E 72 St,40.7699426,-73.96060712,41935,Subscriber,1958,1,182
264,01:54.1,06:18.4,3375,3 Ave & E 72 St,40.7699426,-73.96060712,3156,E 72 St & York Ave,40.76663814,-73.95348296,41935,Subscriber,1980,2,183
686,42:45.6,54:12.2,3156,E 72 St & York Ave,40.76663814,-73.95348296,3734,E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,41935,Subscriber,1969,0,184
618,32:24.7,42:42.9,3243,E 58 St & 1 Ave (NE Corner),40.75892386,-73.96226227,3140,1 Ave & E 78 St,40.77140426,-73.9535166,41935,Subscriber,1970,2,185
200,59:25.3,02:45.3,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,41935,Subscriber,1973,2,186
1330,19:38.9,41:49.7,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,385,E 55 St & 2 Ave,40.75797322,-73.96603308,41935,Customer,1969,1,187
1024,51:29.2,08:33.7,385,E 55 St & 2 Ave,40.75797322,-73.96603308,523,W 38 St & 8 Ave,40.75466591,-73.99138152,41935,Subscriber,1984,1,188
